Iter	RQ1	ASQ1	SHSQ1	RQ15	ASQ15	SHSQ15	RS	ASS	SHSS
19500	2,983	1,5835	2,06667	2,8101	1,2591	1,82333	3,98157	2,0885	2,78177
19600	3,02023	1,55553	2,07527	2,8142	1,19857	1,81617	4,16623	2,13867	2,7933
19700	3,01503	1,5602	2,04277	2,85107	1,2747	1,8174	4,00413	2,16853	2,81417
19800	3,0506	1,5821	2,06227	2,87817	1,23737	1,8847	4,021	2,0699	2,78817
19900	3,06087	1,5996	2,08283	2,8962	1,25727	1,87523	4,04347	2,19837	2,81823
20000	3,06467	1,6206	2,0992	2,901	1,2657	1,85287	4,07627	2,18293	2,8475
20100	3,0779	1,6192	2,10307	2,9042	1,25957	1,878	4,35457	2,2723	2,87253
20200	3,1025	1,6184	2,12087	2,9319	1,31497	1,86113	4,08503	2,10937	2,8587
20300	3,1143	1,65627	2,19583	2,93657	1,29893	1,85383	4,1276	2,03373	2,86927
20400	3,15263	1,63383	2,1298	2,94923	1,2934	1,8881	4,14897	2,1151	2,90367
20500	3,15713	1,6496	2,14817	2,9797	1,33157	1,9404	4,1896	2,2104	2,91623
20600	3,1629	1,66067	2,15327	2,9989	1,31113	1,90547	4,2006	2,21333	2,9489
20700	3,1957	1,6682	2,1591	2,99947	1,3129	1,9583	4,2237	2,0447	2,9327
20800	3,19987	1,7176	2,2078	3,02767	1,3298	1,9522	4,25903	2,1011	2,97883
20900	3,2246	1,6681	2,20083	3,0415	1,32627	1,93533	4,3647	2,29557	2,976
21000	3,2357	1,70427	2,25073	3,0844	1,35003	2,0365	4,51713	2,30573	3,07913
21100	3,34097	1,7013	2,2532	3,11947	1,2825	1,9868	4,3019	2,3398	3,00477
21200	3,29333	1,70047	2,27573	3,11343	1,3836	1,99777	4,38223	2,09143	3,05463
21300	3,26907	1,71673	2,244	3,1028	1,37117	1,95887	4,3421	2,2445	3,04307
21400	3,32613	1,74297	2,26873	3,14953	1,35153	2,02753	4,4276	2,4038	3,09957
21500	3,3241	1,7653	2,28707	3,12567	1,40463	1,99323	4,39213	2,21753	3,05777
21600	3,3329	1,73923	2,23903	3,1528	1,40647	1,9848	4,44803	2,1949	3,12487
21700	3,36687	1,7342	2,2783	3,1656	1,38727	2,01603	4,45573	2,21433	3,1075
21800	3,36537	1,79393	2,3353	3,18173	1,38443	2,07133	4,47717	2,41643	3,11747
21900	3,40803	1,7972	2,31173	3,2009	1,38437	2,076	4,50343	2,29833	3,1258
22000	3,4117	1,80863	2,3702	3,21183	1,43067	2,04223	4,49767	2,3685	3,1434
22100	3,40573	1,81963	2,30547	3,23223	1,43323	2,042	4,51403	2,3746	3,17907
22200	3,43373	1,7795	2,3534	3,25063	1,44057	2,04487	4,56103	2,42343	3,20533
22300	3,44597	1,77833	2,3691	3,2381	1,44517	2,08283	4,59247	2,41803	3,18513
22400	3,4692	1,84157	2,41093	3,26487	1,43793	2,096	4,59873	2,31123	3,23707
22500	3,4872	1,82263	2,3627	3,29853	1,45757	2,1165	4,63267	2,37597	3,24493
22600	3,50407	1,82873	2,3951	3,47593	1,4815	2,12273	4,68727	2,36917	3,26357
22700	3,52677	1,84887	2,43743	3,32597	1,4413	2,41327	4,69293	2,40037	3,27333
22800	3,5309	1,79617	2,40513	3,3455	1,44577	2,12767	4,71227	2,33287	3,32557
22900	3,562	1,85027	2,43897	3,36553	1,4732	2,13617	4,69213	2,52587	3,31467
23000	3,5577	1,85663	2,41847	3,3728	1,47183	2,1406	4,74483	2,56293	3,34437
23100	3,5793	1,8754	2,4829	3,38237	1,50563	2,17197	4,73547	2,51277	3,31913
23200	3,59037	1,92797	2,4472	3,37557	1,48613	2,13733	4,80733	2,37273	3,33053
23300	3,63953	1,90467	2,47953	3,4114	1,52967	2,1875	4,826	2,616	3,33833
23400	3,634	1,94247	2,50443	3,42997	1,5544	2,21453	4,85747	2,6892	3,37863
23500	3,65087	1,9103	2,52257	3,45077	1,5504	2,20627	4,8349	2,46763	3,38737
23600	3,6541	1,90657	2,5544	3,45413	1,5344	2,2175	4,95987	2,6734	3,40907
23700	3,71217	1,9305	2,55733	3,48357	1,511	2,21783	4,90163	2,49763	3,4293
23800	3,7046	1,9374	2,56277	3,5038	1,55313	2,23277	4,9861	2,45393	3,47417
23900	3,71763	1,9634	2,5596	3,5092	1,54257	2,2119	4,9398	2,64703	3,47523
24000	3,73103	1,92417	2,5558	3,52623	1,5424	2,223	4,9848	2,62423	3,48007
24100	3,78347	1,9297	2,56193	3,55533	1,56477	2,24217	4,96667	2,54053	3,45763
24200	3,76627	1,96263	2,5965	3,53583	1,5709	2,27673	5,02343	2,54293	3,47577
24300	3,80933	1,94447	2,56093	3,6011	1,54427	2,2933	5,03923	2,639	3,50043
24400	3,82523	1,98333	2,59173	3,59597	1,58057	2,2985	5,04197	2,82927	3,51387
24500	3,83347	2,00287	2,6091	3,59363	1,61423	2,25913	5,0592	2,95743	3,5532
24600	3,8409	2,02333	2,62147	3,63753	1,53507	2,3471	5,11313	2,61787	3,58693
24700	3,856	2,05133	2,6392	3,64113	1,58883	2,33233	5,12853	2,80317	3,56647
24800	3,88103	2,0241	2,61367	3,8456	1,62327	2,35973	5,13077	2,6071	3,6087
24900	3,89547	2,0386	2,63067	3,66973	1,5786	2,3328	5,1825	2,56337	3,62977
25000	3,91603	2,0226	2,64673	3,68247	1,67097	2,31753	5,20473	2,72553	3,637
25100	3,90073	2,01497	2,68697	3,69953	1,6225	2,36237	5,23253	2,59023	3,68027
25200	3,91723	2,01863	2,69233	3,7025	1,62783	2,40107	5,26943	2,6712	3,6746
25300	3,97283	2,05393	2,70503	3,75153	1,67863	2,39693	5,2514	2,6903	3,66847
25400	3,97003	2,0921	2,79543	3,7482	1,69	2,4663	5,25757	2,83783	3,68403
25500	3,9922	2,09163	2,70927	3,7664	1,61463	2,41397	5,3089	2,77633	3,72297
25600	4,0016	2,09043	2,73623	3,77717	1,67327	2,4154	5,30853	2,71123	3,73797
25700	4,0298	2,1054	2,75057	3,8115	1,64153	2,41667	5,34157	2,70927	3,748
25800	4,0305	2,07557	2,71987	3,8066	1,67503	2,42753	5,3929	2,70997	3,79307
25900	4,05493	2,0926	2,78623	3,84483	1,67013	2,46803	5,40457	2,96123	3,75923
26000	4,1523	2,14007	2,76127	3,88267	1,6672	2,43773	5,44527	2,5928	3,79613
26100	4,07813	2,1304	2,8073	3,8696	1,72277	2,4726	5,42017	2,89033	3,82277
26200	4,10647	2,143	2,7971	3,85833	1,68237	2,45433	5,50977	2,90767	3,841
26300	4,16207	2,12367	2,99267	3,91807	1,70797	2,49417	5,5147	2,70897	3,8533
26400	4,14853	2,1281	2,83603	3,9066	1,71943	2,52033	5,49343	2,95973	3,87603
